검색조건
대출기간,2026-01-01 ~ 2026-07-03
성별,전체
연령,5,6학년(12~13세)
지역,전체
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-07-04
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"50","놓지 마 과학!","글·그림: 신태훈,나승훈","위즈덤하우스","2016","18","9791168126336","77400","408","393",
"50","채사장의 지대넓얕 :지적 대화를 위한 넓고 얕은 지식","글: 채사장,그림: 정용환","Dolphin Books(돌핀북)","2021","13","9791193487211","74900","001","393",
"52","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","6","9791168418950","74810","813.5","383",
"53","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","6","9791168411852","77400","400","381",
"54","설민석의 한국사 대모험","글: 설민석,그림: 정현희","Dankkum i(단꿈아이)","2022","24","9791198179913","74910","911","380",
"55","설민석의 삼국지 대모험","원작: 나관중 ;만화: 스튜디오 담","Dankkum i(단꿈아이)","2021","22","9791193031551","77820","823.5","379",
"56","온 더 볼 =On the ball","성완 글 ;돌만 그림","다산북스","2023","5","9791130664279","74810","813.7","378",
"56","설민석의 세계사 대모험","글: 설민석,그림: 박성일","단꿈아이","2019","26","9791193031919","77900","909","378",
"58","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","14","9791173321610","77400","400","377",
"59","변호사 어벤저스 :어린이 법학 동화","글: 고희정 ;그림: 최미란","가나문화콘텐츠","2024","6","9791168091276","74810","360","372",
"59","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","67","9791173573019","77720","711.4","372",
"61","흔한남매 이무기 :이해하면 무서운 이야기","원작: 흔한남매 ;그림: 도니패밀리","미래엔","2023","2","9791168418516","77810","810","371",
"62","의사 어벤저스 :어린이 의학 동화","글: 고희정 ;그림: 조승연","가나문화콘텐츠","2021","24","9791168091559","74510","510","369",
"62","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","4","9791168416314","74810","813.5","369",
"64","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","7","9791168413931","77400","400","367",
"65","마법천자문 :손오공의 한자 대탐험","저자: 스튜디오시리얼,정수영","아울북","2005","66","9791173571268","77720","711.4","366",
"66","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","8","9791168414822","77400","400","365",
"67","정재승의 인간 탐구 보고서","글: 정재은,특대호 원고: 오경은","아울북(북이십일 아울북)","2019","16","9788950983482","74400","511","362",
"67","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","2","9791164132454","77810","810","362",
"69","수상한 놀이공원 천옥원 :전천당 번외편","글: 히로시마 레이코 글 ;옮긴이: 김정화","길벗스쿨","2025","2","9791164068890","73830","833.6","361",
"69","열세 살의 걷기 클럽 :김혜정 창작동화 ","지은이: 김혜정 ;그린이: 김연제","사계절(사계절출판사)","2023","","9791169811361","74810","813.7","361",
"71","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","5","9791168415331","74810","813.5","360",
