검색조건
대출기간,2026-01-01 ~ 2026-07-03
성별,전체
연령,유아(6~7세)
지역,전체
ISBN 부가기호,아동
주제,전체

제공기관 : 국립중앙도서관
데이터 제공일 : 2026-07-04
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.

순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수,
"51","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","1","9788937838750","74830","833.6","517",
"51","감기 걸린 물고기 :박정섭 그림책 ","글·그림: 박정섭","사계절","2016","","9788958284482","77810","813.7","517",
"51","꽁꽁꽁 캠핑 :윤정주 그림책 ","윤정주","책읽는곰","2023","","9791158364120","77810","813.7","517",
"54","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","5","9791164139750","77490","472","515",
"55","내 맘대로 편의점 :김영진 그림책 ","김영진","책읽는곰","2025","","9791158365578","77810","813.7","514",
"55","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","8","9791168414075","77490","472","514",
"57","거꾸로 토끼끼토 ","보람 글·그림","길벗어린이","2024","","9788955827590","74810","813.7","512",
"57","몽글몽글 편의점 :김영진 그림책 ","김영진","책읽는곰","2024","","9791158364823","77810","813.7","512",
"59","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","3","9788937889714","74830","833.6","509",
"60","당근 유치원 ","지은이: 안녕달","창비","2020","","9788936455484","77810","813.7","508",
"60","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","12","9791168417984","77490","472","508",
"62","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","11","9791168412477","77810","810","503",
"63","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","2","9788934980254","77400","400","498",
"63","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","8","9791164131914","74830","833.6","498",
"65","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","9","9791164134090","74830","833.6","494",
"66","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","10","9791164137053","74830","833.6","492",
"66","용궁 공주와 수박 빙수 :송태고 그림책 ","글·그림: 송태고","노는날","2025","","9791194722106","77810","813.7","492",
"68","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","6","9791162335123","74830","833.6","491",
"69","튤립 호텔 :김지안 그림책 ","지은이: 김지안","창비","2022","","9788936455842","77810","813.7","488",
"70","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","15","9791173476259","77490","472","486",
"71","엄마 자판기 ","글·그림: 조경희","노란돼지","2019","","9791159950681","77810","813.7","485",
"71","해피버쓰데이 =백희나 그림책 /Happy birthday ","백희나","스토리보울","2024","","9791198807281","77810","813.7","485",
"73","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","1","9788934989257","77400","400","484",
"73","별세상 목욕탕 ","글: 김리리 ;그림: 간장","기탄출판","2025","","9791166463501","77810","813.7","484",
"75","변비 탐정 실룩","글쓴이: 이나영 ;그린이: 박소연","인플루엔셜","2025","1","9791168343085","77810","813.7","474",
"76","바다 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2014","","9788966350278","74830","833.6","472",
"76","오싹오싹 편의점 :김영진 그림책 ","지은이: 김영진","책읽는곰","2023","","9791158364083","77810","813.7","472",
"76","개욕탕 ","김유 글 ;소복이 그림","천개의바람","2024","","9791165735043","77810","813.7","472",
"76","똥볶이 할멈 :K-히어로 판타지","글: 강효미 ;그림: 김무연","따끈따끈책방","2021","2","9791190409131","74810","813.7","472",
"80","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","4","9788936448134","74810","813.7","469",
"81","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","4","9788937848247","74830","833.6","468",
"82","바나나 우유 목욕탕 ","강민정 글·그림","김영사","2025","","9791173320910","77810","813.7","467",
"83","100초 목욕탕 ","타타마 글·그림 ;송지현 옮김","김영사","2025","","9791173320903","77830","833.6","464",
"84","별에게 :안녕달 그림책 ","지은이: 안녕달","창비","2025","","9788936429430","77810","813.7","463",
"85","하늘 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2017","","9788966350759","74830","833.6","460",
"86","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","12","9791168414471","77810","810","459",
"87","낭만 강아지 봉봉","홍민정 글 ;김무연 그림","다산북스","2022","1","9791130679990","74810","813.7","457",
"88","아빠 자판기 :아빠, 사랑, 딸, 놀이 ","글·그림: 조경희","노란돼지","2021","","9791159952050","77810","813.7","456",
"89","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","8","9788934979814","77400","400","454",
"90","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","19","9791173473968","77810","810","452",
"91","따끈따끈 붕어빵 대결 :김원훈 그림책 ","지은이: 김원훈","창비","2025","","9788936429515","77810","813.7","451",
"92","먹어 보면 알지 :이지은 그림책 ","글·그림: 이지은","웅진씽크빅","2025","","9788901296524","74800","813.7","449",
"93","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","10","9788934905851","77400","400","447",
"93","흔한남매","원작: 흔한남매 ;그림: 유난희","미래엔","2019","18","9791173114038","77810","810","447",
"95","(추리 천재) 엉덩이 탐정","트롤 글·그림 ;김정화 옮김","미래엔","2016","5","9791162332542","74830","833.6","446",
"96","숲속 100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2021","","9788966351411","74830","833.6","445",
"97","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","1","9791164136032","77400","400","443",
"98","할머니의 여름휴가","안녕달","창비","2016","","9788936454951","77810","813.8","442",
"99","슈퍼 히어로의 방귀 작전 :세계 최고의 방귀로 설탕 덩어리 괴물을 물리쳐라! ","안영은 글 ;김유대 그림","김영사","2025","","9791173322310","77810","813.7","440",
"100","토끼전 대 호랑전 :정현진 그림책 ","글·그림: 정현진","창비","2025","","9788936429508","77810","813.7","439",
"100","슈퍼 거북 ","유설화 글·그림","책읽는곰","2014","","9788993242980","77810","813.7","439",
"102","지하 100층짜리 집 ","글·그림: 이와이 도시오 ;옮긴이: 김숙","북뱅크","2011","","9788989863915","73830","833.6","437",
"103","100층짜리 집 ","글·그림: 이와이 도시오 ;옮김: 김숙","북뱅크","2021","","9788989863786","74830","833.6","436",
"103","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","2","9791164137121","77400","400","436",
"105","팥빙수의 전설 :이지은 그림책 ","글·그림: 이지은","웅진씽크빅","2019","","9788901232232","74800","813.7","433",
"106","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","5","9788936448370","73810","813.7","432",
"107","네 꿈을 응원해, 권투 장갑! :유설화 그림책 ","유설화","책읽는곰","2025","","9791158365226","77810","813.7","431",
"107","에그박사 :Egg&bugs","원작: 에그박사 ;그림: 홍종현","미래엔","2020","16","9791173479946","77490","472","431",
"109","호랭면 :김지안 그림책 ","지은이: 김지안","M창비(미디어창비)","2023","","9791193022122","77810","813.7","430",
"110","틀려도 괜찮아","마키타 신지 글;유문조 옮김","토토북","2006","","9788990611260","77830","833.6","425",
"110","흔한남매의 흔한 호기심 :일상에서 만나는 과학 상식","원작: 흔한남매 ;그림: 유난희","미래엔","2020","3","9791164137923","77400","400","425",
"112","장미 저택 :김지안 그림책 ","지은이: 김지안","창비","2024","","9788936429225","77810","813.7","424",
"113","고양이 해결사 깜냥","홍민정 동화 ;김재희 그림","창비","2020","6","9788936448523","73810","813.7","423",
"114","아주 무서운 날 ","탕무니우 글·그림 ;홍연숙 옮김","찰리북","2014","","9788994368269","77820","823.7","422",
"114","꽁꽁꽁 댕댕 :윤정주 그림책 ","윤정주","책읽는곰","2024","","9791158364724","77810","813.7","422",
"114","변비 탐정 실룩","글쓴이: 이나영 ;그린이: 박소연","인플루엔셜","2025","2","9791168343092","77810","813.7","422",
"114","지구 레스토랑 :조영글 그림책 ","지은이: 조영글","M창비(미디어창비)","2023","","9791193022078","77810","813.7","422",
"118","흔한남매 과학 탐험대","원작: 흔한남매 ;임혜영","김영사","2021","11","9788934935193","77400","400","419",
"119","흔한남매 이상한 나라의 고전 읽기","최재훈 글 ;정주연 그림","미래엔","2022","1","9791168412248","74810","813.5","417",
"120","버럭 할머니와 달평 씨 :신민재 그림책 ","신민재","책읽는곰","2025","","9791158365370","77810","813.7","414",
